Proposition,GreekLabels,GreekDirectionality,ArabicLabels,ArabicDirectionality,NumberFigures,OrderFigures,Symmetry
1.propositions.1,5,leftRight,6,rightLeft,1,,yes
1.propositions.2,unclear,unclear,8,rightLeft,1,,no
1.propositions.3,6,leftRight,5,rightLeft,2,opposite,no
1.propositions.4,6,leftRight,6,rightLeft,2,opposite,yes
1.propositions.5,unclear,unclear,7,rightLeft,1,,yes
1.propositions.6,4,leftRight,4,rightLeft,1,,no
1.propositions.7,4,leftRight,4,rightLeft,1,,yes
1.propositions.8,7,leftRight,7,rightLeft,2,opposite,yes
1.propositions.9,6,leftRight,6,rightLeft,1,,yes
1.propositions.10,4,leftRight,4,rightLeft,1,,yes
1.propositions.11,unclear,leftRight,6,rightLeft,1,,yes
1.propositions.12,unclear,unclear,7,rightLeft,1,,yes
1.propositions.13,5,rightLeft,5,rightLeft,1,,no
1.propositions.14,none,none,5,leftRight,1,,no
1.propositions.15,unclear,unclear,4,rightLeft,1,,yes
1.propositions.16,unclear,unclear,7,rightLeft,1,,no
1.propositions.17,unclear,leftRight,4,rightLeft,1,,no
1.propositions.18,unclear,unclear,4,rightLeft,1,,no
1.propositions.19,unclear,unclear,3,rightLeft,1,,yes
1.propositions.20,4,leftRight,4,leftRight,1,,no
1.propositions.21,8,leftRight,5,rightLeft,1,,no
1.propositions.22,10,rightLeft,9,leftRight,4,same,no
1.propositions.23,unclear,unclear,9,rightLeft,2,unclear,yes
1.propositions.24,unclear,unclear,8,rightLeft,2,same,yes
1.propositions.25,6,leftRight,6,rightLeft,2,same,yes
1.propositions.26,8,leftRight,8,rightLeft,2,opposite,no
1.propositions.27,6,leftRight,8,rightLeft,1,,no
1.propositions.28,8,leftRight,8,rightLeft,1,,no
1.propositions.29,unclear,unclear,8,rightLeft,1,,no
1.propositions.30,9,leftRight,11,rightLeft,1,,no
1.propositions.31,6,leftRight,6,rightLeft,1,,no
1.propositions.32,5,leftRight,5,rightLeft,1,,no
1.propositions.33,4,leftRight,4,rightLeft,1,,no
1.propositions.34,unclear,unclear,4,leftRight,1,,no
1.propositions.35,unclear,unclear,7,rightLeft,1,,no
1.propositions.36,8,leftRight,8,rightLeft,1,,no
1.propositions.37,6,leftRight,6,rightLeft,1,,yes
1.propositions.38,7,unclear,7,rightLeft,1,,yes
1.propositions.39,5,leftRight,5,rightLeft,1,,no
1.propositions.40,6,leftRight,none,none,1,,no
1.propositions.41,5,leftRight,5,rightLeft,1,,no
1.propositions.42,7,leftRight,7,rightLeft,2,opposite,no
1.propositions.43,9,leftRight,9,rightLeft,1,,no
1.propositions.44,12,leftRight,13,rightLeft,3,same,no
1.propositions.45,11,leftRight,none,none,3,,no
1.propositions.46,unclear,unclear,4,rightLeft,1,,yes
1.propositions.47,unclear,unclear,12,rightLeft,1,,no
1.propositions.48,4,leftRight,4,rightLeft,1,,yes
2.propositions.1,unclear,leftRight,9,rightLeft,2,opposite,yes
2.propositions.2,unclear,leftRight,6,rightLeft,1,,yes
2.propositions.3,unclear,unclear,6,rightLeft,1,,yes
2.propositions.4,9,leftRight,9,rightLeft,1,,no
2.propositions.5,14,leftRight,13,rightLeft,1,,no
2.propositions.6,14,leftRight,13,rightLeft,1,,no
2.propositions.7,unclear,leftRight,12,rightLeft,1,,no
2.propositions.8,19,leftRight,16,rightLeft,1,,no
2.propositions.9,unclear,unclear,7,rightLeft,1,,no
2.propositions.10,7,leftRight,7,rightLeft,1,,no
2.propositions.11,9,leftRight,9,rightLeft,1,,no

